journals/midm,BMC Medical Informatics and Decision Making,B,https://dblp.uni-trier.de/db/journals/midm
journals/bpmj,Business Process Management Journal,B,https://dblp.uni-trier.de/db/journals/bpmj
journals/cjtcs,Chicago Journal of Theoretical Computer Science,C,https://dblp.uni-trier.de/db/journals/cjtcs
journals/cogsci,Cognitive Science,A*,https://dblp.uni-trier.de/db/journals/cogsci
journals/combinatorica,Combinatorica: an international journal on combinatorics and the theory of computing,A,https://dblp.uni-trier.de/db/journals/combinatorica
journals/cpc,"Combinatorics, Probability and Computing",A,https://dblp.uni-trier.de/db/journals/cpc
journals/cssc,Communications in Statistics: Simulation and Computation,C,https://dblp.uni-trier.de/db/journals/cssc
journals/cais,Communications of the Association for Information Systems,Not primarily CS,https://dblp.uni-trier.de/db/journals/cais
journals/compsys,Complex Systems,C,https://dblp.uni-trier.de/db/journals/compsys
journals/complexity,Complexity,B,https://dblp.uni-trier.de/db/journals/complexity
journals/cc,Computational Complexity,A,https://dblp.uni-trier.de/db/journals/cc
journals/ci,Computational Intelligence,B,https://dblp.uni-trier.de/db/journals/ci
journals/coling,Computational Linguistics,A*,https://dblp.uni-trier.de/db/journals/coling
journals/csda,Computational Statistics,B,https://dblp.uni-trier.de/db/journals/csda
journals/jvca,Computer Animation and Virtual Worlds,B,https://dblp.uni-trier.de/db/journals/jvca
journals/comcom,Computer Communications,C,https://dblp.uni-trier.de/db/journals/comcom
journals/ccr,Computer Communications Review,survey/review,https://dblp.uni-trier.de/db/journals/ccr
journals/cgf,Computer Graphics Forum: the international journal of the Eurographics Association,B,https://dblp.uni-trier.de/db/journals/cgf
journals/cn,Computer Networks,A,https://dblp.uni-trier.de/db/journals/cn
journals/cphysics,Computer Physics Communications,A,https://dblp.uni-trier.de/db/journals/cphysics
journals/ife,Computer Science - Research and Development,C,https://dblp.uni-trier.de/db/journals/ife
journals/csed,Computer Science Education,B,https://dblp.uni-trier.de/db/journals/csed
journals/csl,Computer Speech and Language,A,https://dblp.uni-trier.de/db/journals/csl
journals/csi,Computer Standards and Interfaces,B,https://dblp.uni-trier.de/db/journals/csi
journals/cscw,Computer Supported Cooperative Work: the journal of collaborative computing,B,https://dblp.uni-trier.de/db/journals/cscw
journals/csse,Computer Systems Science and Engineering,C,https://dblp.uni-trier.de/db/journals/csse
journals/cviu,Computer Vision and Image Understanding,A,https://dblp.uni-trier.de/db/journals/cviu
journals/cee,Computers and Electrical Engineering,B,https://dblp.uni-trier.de/db/journals/cee
journals/cea,Computers and Electronics in Agriculture,Not primarily CS,https://dblp.uni-trier.de/db/journals/cea
journals/cg,Computers and Graphics - UK,B,https://dblp.uni-trier.de/db/journals/cg
journals/cma,Computers and Mathematics with Applications,not primarily CS,https://dblp.uni-trier.de/db/journals/cma
journals/compsec,Computers and Security,B,https://dblp.uni-trier.de/db/journals/compsec
journals/cbm,Computers in Biology and Medicine,B,https://dblp.uni-trier.de/db/journals/cbm
journals/chb,Computers in Human Behavior,not primarily CS,https://dblp.uni-trier.de/db/journals/chb
journals/cii,Computers in Industry,B,https://dblp.uni-trier.de/db/journals/cii
journals/computing,Computing,B,https://dblp.uni-trier.de/db/journals/computing
journals/cse,Computing in Science and Engineering,C,https://dblp.uni-trier.de/db/journals/cse
journals/concurrency,Concurrency and Computation: Practice and Experience,B,https://dblp.uni-trier.de/db/journals/concurrency
journals/connection,"Connection Science: journal of neural computing, artificial intelligence, and cognitive research",B,https://dblp.uni-trier.de/db/journals/connection
journals/constraints,Constraints,A,https://dblp.uni-trier.de/db/journals/constraints
journals/control,Control and Cybernetics,C,https://dblp.uni-trier.de/db/journals/control
journals/cryptologia,Cryptologia: a quarterly journal devoted to all aspects of cryptology,C,https://dblp.uni-trier.de/db/journals/cryptologia
journals/cas,Cybernetics and Systems,B,https://dblp.uni-trier.de/db/journals/cas
journals/dke,Data and Knowledge Engineering,B,https://dblp.uni-trier.de/db/journals/dke
journals/datamine,Data Mining and Knowledge Discovery,A,https://dblp.uni-trier.de/db/journals/datamine
journals/datascience,Data Science Journal,C,https://dblp.uni-trier.de/db/journals/datascience
journals/dss,Decision Support Systems,not primarily CS,https://dblp.uni-trier.de/db/journals/dss
journals/dcc,"Design, Codes and Cryptography",B,https://dblp.uni-trier.de/db/journals/dcc
journals/creativity,Digital Creativity,C,https://dblp.uni-trier.de/db/journals/creativity
journals/jdfsl,"Digital Forensics, Security and Law. Journal",C,https://dblp.uni-trier.de/db/journals/jdfsl
journals/di,Digital Investigation,C,https://dblp.uni-trier.de/db/journals/di
journals/deds,Discrete Event Dynamic Systems,C,https://dblp.uni-trier.de/db/journals/deds
journals/dm,Discrete Mathematics,B,https://dblp.uni-trier.de/db/journals/dm
journals/dmtcs,Discrete Mathematics and Theoretical Computer Science,B,https://dblp.uni-trier.de/db/journals/dmtcs
journals/dmgt,Discussiones Mathematicae. Graph Theory,C,https://dblp.uni-trier.de/db/journals/dmgt
journals/displays,Displays,B,https://dblp.uni-trier.de/db/journals/displays
journals/dpd,Distributed and Parallel Databases,B,https://dblp.uni-trier.de/db/journals/dpd
journals/dc,Distributed Computing,A,https://dblp.uni-trier.de/db/journals/dc
journals/ecs,Egyptian Computer Science Journal,C,https://dblp.uni-trier.de/db/journals/ecs
journals/ecr,Electronic Commerce Research,B,https://dblp.uni-trier.de/db/journals/ecr
journals/ecra,Electronic Commerce Research and Applications,B,https://dblp.uni-trier.de/db/journals/ecra
journals/electronicmarkets,Electronic Markets,A,https://dblp.uni-trier.de/db/journals/electronicmarkets
journals/endm,Electronic Notes in Discrete Mathematics,C,https://dblp.uni-trier.de/db/journals/endm
